HID;PID;TIME_PERIOD;REF_AREA;DIARY;DDV1;DDV1A;DDV2;DDV3;DDV4;DDV5A;DDV5B;DDV5C;DDV5D;DDV5E;DDV6;DDV7;DDV8A;DDV8B;WGHT1;DATA_COLLECTION_MODE
10002;1;2020;AT;1;4;1;5;1;2022;511;321;311;3;1;1;3;1;-1;1256,5828874585800;1
10002;1;2020;AT;2;1;2;9;1;2022;344;321;311;3;2;1;3;1;-1;586,4053474806690;1
10002;2;2020;AT;1;4;1;5;1;2022;531;32;361;2;2;1;4;1;-1;1256,5828874585800;1
10002;2;2020;AT;2;1;2;9;1;2022;344;324;352;3;2;1;4;1;-1;586,4053474806690;1
10021;1;2020;AT;1;5;2;6;1;2022;21;331;960;3;1;1;3;2;100;1185,9874207842599;1
10021;1;2020;AT;2;1;2;9;1;2022;31;331;111;2;1;1;1;1;-1;1185,9874207842599;1
10021;2;2020;AT;1;5;2;6;1;2022;960;212;212;3;1;1;3;2;4;1185,9874207842599;1
10021;2;2020;AT;2;1;2;9;1;2022;613;321;311;3;1;1;3;2;40;1185,9874207842599;1
10040;1;2020;AT;1;2;1;13;12;2021;344;311;111;4;1;1;1;1;-1;1137,0161653079599;1
10040;1;2020;AT;2;7;2;18;12;2021;321;332;311;5;1;1;3;1;-1;530,6075438103830;1
10040;2;2020;AT;1;2;1;13;12;2021;531;111;21;4;1;1;1;1;-1;1137,0161653079599;1
10040;2;2020;AT;2;7;2;18;12;2021;613;325;324;5;1;1;3;1;-1;530,6075438103830;1
10065;1;2020;AT;1;5;1;13;1;2022;311;995;995;2;1;2;-1;1;-1;1236,3618176954601;1
10065;1;2020;AT;2;7;2;15;1;2022;11;995;323;3;2;2;-1;1;-1;576,9688482578820;1
10065;2;2020;AT;1;5;1;13;1;2022;811;32;111;2;1;1;1;1;-1;1236,3618176954601;1
10065;2;2020;AT;2;7;2;15;1;2022;831;323;323;1;1;1;3;1;-1;576,9688482578820;1
10076;1;2020;AT;1;4;1;10;11;2021;39;729;361;1;1;2;-1;1;-1;376,3769126732090;1
10076;1;2020;AT;2;1;2;14;11;2021;39;531;311;1;1;2;-1;1;-1;175,6425592474970;1
10076;2;2020;AT;1;4;1;10;11;2021;21;111;111;2;2;1;1;1;-1;376,3769126732090;1
10076;2;2020;AT;2;1;2;14;11;2021;39;343;321;1;1;1;3;1;-1;175,6425592474970;1
10083;1;2020;AT;1;5;1;27;1;2022;111;910;311;1;1;2;-1;1;-1;918,1787433624560;1
10083;1;2020;AT;2;1;2;30;1;2022;611;332;324;1;1;2;-1;2;35;428,4834135691460;1
10083;2;2020;AT;1;5;1;27;1;2022;613;939;939;1;1;2;-1;2;40;918,1787433624560;1
10083;2;2020;AT;2;1;2;30;1;2022;21;821;611;1;1;2;-1;2;35;428,4834135691460;1
10098;1;2020;AT;1;2;1;6;12;2021;21;421;311;3;2;1;6;1;-1;517,9078949510950;1
10098;1;2020;AT;2;1;2;12;12;2021;11;361;429;1;1;1;3;1;-1;241,6903509771780;1
10098;2;2020;AT;1;2;1;6;12;2021;31;615;311;4;1;1;3;1;-1;517,9078949510950;1
10098;2;2020;AT;2;1;2;12;12;2021;531;619;429;3;1;1;3;1;-1;241,6903509771780;1
10106;1;2020;AT;1;4;1;17;11;2021;31;371;111;2;2;1;-9;1;-1;271,7253838695790;1
10106;1;2020;AT;2;7;2;20;11;2021;21;324;361;1;1;1;3;1;-1;126,8051791391370;1
10106;2;2020;AT;1;4;1;24;11;2021;381;111;111;3;1;1;1;1;-1;271,7253838695790;1
10106;2;2020;AT;2;7;2;20;11;2021;21;341;311;1;1;1;3;1;-1;126,8051791391370;1
10109;1;2020;AT;1;6;2;31;12;2021;21;31;513;1;1;2;-1;1;-1;329,3459198871540;1
10109;1;2020;AT;2;7;2;1;1;2022;21;321;321;1;2;2;-1;1;-1;329,3459198871540;1
10109;2;2020;AT;1;6;2;31;12;2021;344;429;513;1;2;2;-1;1;-1;329,3459198871540;1
10109;2;2020;AT;2;7;2;1;1;2022;11;821;429;1;2;2;-1;1;-1;329,3459198871540;1
10139;1;2020;AT;1;3;1;14;12;2021;383;381;381;2;2;1;3;1;-1;322,4713228181380;1
10139;1;2020;AT;2;7;2;18;12;2021;381;381;381;2;2;1;3;1;-1;150,4866173151310;1
10139;2;2020;AT;1;3;1;14;12;2021;383;32;900;3;2;1;6;1;-1;322,4713228181380;1
10139;2;2020;AT;2;7;2;18;12;2021;383;321;361;1;2;1;4;1;-1;150,4866173151310;1
10147;1;2020;AT;1;4;1;29;12;2021;512;-9;-9;1;1;2;-1;2;190;1634,8776049647199;2
10147;1;2020;AT;2;7;2;1;1;2022;11;311;900;2;1;2;-1;-9;-1;762,9428823168670;2
10147;2;2020;AT;1;4;1;29;12;2021;-9;-9;-9;1;-8;2;-1;2;190;1634,8776049647199;2
10147;2;2020;AT;2;7;2;1;1;2022;-9;-9;-9;-8;1;2;-1;-9;-1;762,9428823168670;2
10158;1;2020;AT;1;6;1;3;12;2021;821;381;381;1;1;1;1;1;-1;356,5193716028580;1
10158;1;2020;AT;2;7;2;4;12;2021;512;322;361;1;2;1;3;1;-1;166,3757067480000;1
10158;2;2020;AT;1;6;1;3;12;2021;735;32;32;3;2;1;3;1;-1;356,5193716028580;1
10158;2;2020;AT;2;7;2;4;12;2021;512;910;21;2;1;1;1;1;-1;166,3757067480000;1
10163;1;2020;AT;1;6;2;31;12;2021;819;-9;-9;2;1;2;-1;1;-1;268,9231167161020;2
10163;1;2020;AT;2;1;2;2;1;2022;-9;111;-9;2;2;2;-1;1;-1;268,9231167161020;2
10163;2;2020;AT;1;6;2;31;12;2021;819;-9;-9;2;1;2;-1;1;-1;268,9231167161020;2
10163;2;2020;AT;2;1;2;2;1;2022;512;-9;-9;2;1;2;-1;1;-1;268,9231167161020;2
10172;1;2020;AT;1;5;2;6;1;2022;383;321;311;1;1;1;3;1;-1;341,1409910619940;1
10172;1;2020;AT;2;7;2;8;1;2022;321;21;361;1;2;1;3;1;-1;341,1409910619940;1
10172;2;2020;AT;1;5;2;6;1;2022;21;111;111;3;1;1;6;1;-1;341,1409910619940;1
10172;2;2020;AT;2;7;2;8;1;2022;21;111;31;3;1;1;1;1;-1;341,1409910619940;1
10187;1;2020;AT;1;3;1;21;12;2021;344;332;939;2;1;1;5;1;-1;279,7580160686690;1
10187;1;2020;AT;2;7;2;25;12;2021;344;31;321;3;1;1;5;1;-1;130,5537408320460;1
10187;2;2020;AT;1;3;1;21;12;2021;812;32;900;2;1;2;-1;1;-1;279,7580160686690;1
10187;2;2020;AT;2;7;2;25;12;2021;731;11;719;2;1;2;-1;1;-1;130,5537408320460;1
10263;1;2020;AT;1;3;1;30;11;2021;821;322;111;2;2;1;1;1;-1;257,3060785467140;1
10263;1;2020;AT;2;1;2;5;12;2021;831;322;425;3;1;1;3;1;-1;120,0761699884670;1
10263;2;2020;AT;1;3;1;30;11;2021;21;910;111;3;1;1;1;1;-1;257,3060785467140;1
10263;2;2020;AT;2;1;2;5;12;2021;352;321;311;2;2;1;3;1;-1;120,0761699884670;1
10278;1;2020;AT;1;6;1;3;12;2021;821;321;-9;1;1;2;-1;1;-1;471,4295872584090;2
10278;1;2020;AT;2;7;2;4;12;2021;821;-9;-9;1;1;2;-1;-9;-1;220,0004740539240;2
10278;2;2020;AT;1;6;1;3;12;2021;821;-9;-9;1;1;2;-1;-9;-1;471,4295872584090;2
10278;2;2020;AT;2;7;2;4;12;2021;821;-9;-9;1;1;2;-1;-9;-1;220,0004740539240;2
10294;1;2020;AT;1;6;2;24;12;2021;513;381;381;1;2;1;3;1;-1;197,7815020547390;1
10294;1;2020;AT;2;1;2;26;12;2021;11;381;381;1;2;1;3;1;-1;197,7815020547390;1
10294;2;2020;AT;1;6;2;24;12;2021;513;321;21;1;2;1;3;1;-1;197,7815020547390;1
10294;2;2020;AT;2;1;2;26;12;2021;21;321;321;3;2;1;3;1;-1;197,7815020547390;1
10343;1;2020;AT;1;3;1;1;2;2022;342;353;353;3;1;2;-1;1;-1;1239,8939676580401;1
10343;1;2020;AT;2;1;2;6;2;2022;512;821;21;3;1;2;-1;1;-1;578,6171849070870;1
10343;2;2020;AT;1;3;1;1;2;2022;615;321;311;3;1;2;-1;1;-1;1239,8939676580401;1
10343;2;2020;AT;2;1;2;6;2;2022;512;321;311;3;1;2;-1;1;-1;578,6171849070870;1
10367;1;2020;AT;1;6;1;4;3;2022;511;361;111;1;1;1;1;1;-1;1807,0487390025401;1
10367;1;2020;AT;2;1;2;6;3;2022;611;531;531;1;1;1;3;1;-1;843,2894115345190;1
10367;2;2020;AT;1;6;1;4;3;2022;732;111;910;1;1;1;1;1;-1;1807,0487390025401;1
10367;2;2020;AT;2;1;2;6;3;2022;732;321;353;3;1;1;3;1;-1;843,2894115345190;1
10376;1;2020;AT;1;2;1;17;1;2022;21;111;111;3;2;1;1;1;-1;852,8630961757140;1
10376;1;2020;AT;2;7;2;22;1;2022;21;900;361;5;1;1;3;1;-1;398,0027782153330;1
10376;2;2020;AT;1;2;1;17;1;2022;821;111;111;2;1;1;1;1;-1;852,8630961757140;1
10376;2;2020;AT;2;7;2;22;1;2022;733;361;361;4;1;1;3;1;-1;398,0027782153330;1
10378;1;2020;AT;1;4;1;19;1;2022;613;111;21;3;1;1;1;2;8;730,3701855770080;1
10378;1;2020;AT;2;7;2;22;1;2022;613;321;311;3;1;1;3;2;80;340,8394199359370;1
10378;2;2020;AT;1;4;1;19;1;2022;821;910;111;3;1;1;1;1;-1;730,3701855770080;1
10378;2;2020;AT;2;7;2;22;1;2022;31;31;31;1;1;1;3;2;80;340,8394199359370;1
10424;1;2020;AT;1;4;1;23;2;2022;522;831;31;1;1;1;1;1;-1;1406,2607867218701;2
10424;1;2020;AT;2;1;2;27;2;2022;21;-9;-9;1;1;1;3;1;-1;656,2550338035400;2
