HID;PID;TIME_PERIOD;REF_AREA;INDC_RM_18_1;INDC_RM_18_2;INDC_RM_18_3;INDC_RM_18_4;INDC_RM_18_5;INDC_RM_18_6;INDC_RM_18_7;INDC_RM_18_8;INDC_RM_18_9;INDC_RM_18_10;INDC_RM_18_11;INDC_RM_18_12;INDC_RM_18_13;INDC_RM_18_14;INDC_RM_18_15;INDC_RM_18_16;INDC_RM_18_17;INDC_RM_18_18;INDC_RM_18_19;IND1;IND2;IND4;IND3;IND3_1;IND3_2;IND31;IND32;IND33;IND34;IND35;IND36;IND37;IND38;IND31_E;IND32_E;IND35_E;IND33_E;IND34_E;IND31_H;IND32_H;IND37_H;IND36_H;IND35_H;IND38_H;IND33_H;IND34_H;WGHT2;IND31_imp;IND32_imp;IND33_imp;IND34_imp;IND35_imp;IND36_imp;IND37_imp;IND38_imp;IND31_H_imp;IND32_H_imp;IND33_H_imp;IND34_H_imp;IND35_H_imp;IND36_H_imp;IND37_H_imp;IND38_H_imp;IND31_E_imp;IND32_E_imp;IND33_E_imp;IND34_E_imp;IND35_E_imp
10106;4;2020;AT;21;21;81;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;22;1;1;1;1;-1;1;-1;-1;-1;2;2;2;-1;2;-1;-1;-1;-1;30;-1;-1;-1;-1;-1;-1;398,530563008715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10139;3;2020;AT;21;21;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;21;1;1;1;1;2;2;-1;-1;-1;1;2;2;-1;-1;-1;-1;-1;-1;-1;-1;50;-1;-1;-1;-1;472,957940133269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10172;3;2020;AT;21;21;0;81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;24;1;1;1;1;-1;-1;-1;1;2;2;2;2;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;-1;24;682,281982123987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10172;4;2020;AT;21;21;81;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;24;1;1;1;1;-1;-1;-1;1;2;2;2;2;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;-1;21;682,281982123987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10294;3;2020;AT;21;21;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;21;1;1;2;1;1;-1;-1;-1;-1;2;2;2;2;-1;-1;-1;-1;18;-1;-1;-1;-1;-1;-1;-1;395,563004109477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10524;3;2020;AT;21;21;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;24;1;1;1;1;-1;-1;-1;1;1;2;2;2;-1;-1;2;-1;2;-1;-1;-1;-1;7.5;-1;-1;20;1098,486396634340;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10657;3;2020;AT;21;21;0;81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;21;1;1;1;1;2;2;-1;-1;-1;1;2;2;-1;-1;-1;-1;-1;-1;-1;-1;10;-1;-1;-1;-1;757,008419113421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10657;4;2020;AT;21;21;81;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;21;1;1;1;1;2;-1;-1;-1;-1;1;2;2;-1;-1;-1;-1;-1;-1;-1;-1;10;-1;-1;-1;-1;757,008419113421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10724;3;2020;AT;21;21;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;22;1;1;1;1;1;-1;-1;-1;-1;2;2;2;1;-1;-1;-1;-1;5;-1;-1;-1;-1;-1;-1;-1;607,271929947578;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10819;4;2020;AT;21;21;81;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;24;1;1;1;1;-1;-1;-1;1;1;2;2;2;-1;-1;2;-1;2;-1;-1;-1;-1;8;-1;-1;30;1173,134660815330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10983;4;2020;AT;21;21;81;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;24;1;1;3;1;-1;-1;-1;1;2;1;2;2;-1;-1;-1;-1;2;-1;-1;-1;15;-1;-1;-1;23;585,141425427980;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11122;3;2020;AT;21;21;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;24;1;1;1;1;-1;-1;-1;1;2;2;2;2;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;-1;20;486,904391193544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
